Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Other (Please specify.) ,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,100 or more,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,Over 30 years,Yes,Vertical chop,Other,,Wavefront-optimized,11-25,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Academic institution or non-profit,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,Yes,,,,Topography-customized,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,Wavefront-customized,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Private hospital,Over 30 years,Yes,Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,Yes,,,,,51-99,I do not perform surgical interventions,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,11-25,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,11-20 years,Yes,Divide and conquer,Trifocal IOLs,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Surgeon-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,51-99,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,6-10 years,Yes,Divide and conquer,Trifocal IOLs,Digital image registration,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Private hospital,0-5 years,Yes,,,,Standard ablations,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,11-20 years,Yes,,Enhanced Monofocal IOLs,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,Currently in training,Yes,Vertical chop,,,Topography-customized,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,,,Wavefront-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Public hospital,21-30 years,Yes,Stop and chop,,,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Corporate-owned clinic,21-30 years,Yes,,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,Over 30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,6-10 years,Yes,Horizontal chop,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Corporate-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Enhanced Monofocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,26-50,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hospital-owned clinic,0-5 years,Yes,,Extended depth of focus IOLs,,Wavefront-customized,5-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Corporate-owned clinic,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Academic institution or non-profit,Over 30 years,Yes,,,,Femtosecond intrastromal lenticule extraction ,100 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",Stop and chop,Bifocal IOLs,,Topography-customized,11-25,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Academic institution or non-profit,Over 30 years,Yes,Divide and conquer,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,10-Jun,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Academic institution or non-profit,Currently in training,Yes,Divide and conquer,,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,26-50,After two medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Corporate-owned clinic,Over 30 years,Yes,Divide and conquer,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,100 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Academic institution or non-profit,0-5 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Intraoperative wavefront aberrometry,Wavefront-optimized,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,Yes,,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,5-Jan,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,Yes,,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,0-5 years,Yes,Horizontal chop,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Academic institution or non-profit,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Public hospital,11-20 years,"No, and I have no plans to become a delegate",Divide and conquer,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,Wavefront-customized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,,,Other,51-99,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,Wavefront-optimized,51-99,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Corporate-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,I do not perform surgical interventions,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Retired or do not currently perform surgery,21-30 years,Yes,,,,,100 or more,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Corporate-owned clinic,21-30 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,100 or more,After first-line medication,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,Over 30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,100 or more,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,,,,100 or more,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,11-20 years,Yes,Horizontal chop,Enhanced Monofocal IOLs,,Topography-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Private hospital,21-30 years,Yes,,,,Wavefront-customized,51-99,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Corporate-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Academic institution or non-profit,0-5 years,"No, and I have no plans to become a delegate",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Corporate-owned clinic,,"No, and I have no plans to become a delegate",,,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,11-20 years,Yes,,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,26-50,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,Standard ablations,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Academic institution or non-profit,21-30 years,Yes,Horizontal chop,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,21-30 years,Yes,,Trifocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Academic institution or non-profit,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Surgeon-owned clinic,Currently in training,"No, and I have no plans to become a delegate",,,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Digital image registration,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,6-10 years,"No, and I have no plans to become a delegate",Stop and chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Private hospital,21-30 years,Yes,,Trifocal IOLs,Digital image registration,Standard ablations,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,11-20 years,Yes,,,,,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Hospital-owned clinic,6-10 years,"No, and I have no plans to become a delegate",Divide and conquer,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,Ink marking at the slit lamp with no additional instruments,Standard ablations,26-50,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hospital-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Standard ablations,11-25,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Surgeon-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-customized,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,Standard ablations,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,Over 30 years,Yes,Divide and conquer,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,100 or more,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,5-Jan,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Surgeon-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Private hospital,11-20 years,Yes,Vertical chop,Trifocal IOLs,Digital image registration,Standard ablations,51-99,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Corporate-owned clinic,21-30 years,Yes,,,,Standard ablations,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Private hospital,Currently in medical school,Yes,,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Retired or do not currently perform surgery,11-20 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Standard ablations,51-99,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Academic institution or non-profit,Currently in training,Yes,,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Topography-customized,51-99,After first-line medication,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Private hospital,Over 30 years,Yes,,,,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Public hospital,6-10 years,Yes,,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,21-30 years,Yes,Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Topography-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Private hospital,6-10 years,"No, and I have no plans to become a delegate",,,,,51-99,,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Corporate-owned clinic,Currently in training,"No, and I have no plans to become a delegate",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Corporate-owned clinic,Over 30 years,Yes,,,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,Over 30 years,Yes,Stop and chop,Trifocal IOLs,,Standard ablations,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Other,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,21-30 years,Yes,Stop and chop,Trifocal IOLs,Digital image registration,Wavefront-optimized,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
